Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,3,16,32,0.3,0.0005,0.0001,0.6234567901234568,0.6282051282051282,0.6049382716049383,0.6163522012578616,0.66026520347508
p11,4,16,32,0.3,0.0005,0.0001,0.7037037037037037,0.7285714285714285,0.6375,0.68,0.7612804878048781
p11,5,16,32,0.3,0.0005,0.0001,0.5925925925925926,0.5648148148148148,0.7625,0.648936170212766,0.7053353658536585
p11,1,16,32,0.4,0.001,0.0,0.6503067484662577,0.6578947368421053,0.6172839506172839,0.6369426751592356,0.666064438422162
p11,2,16,32,0.4,0.001,0.0,0.6419753086419753,0.6455696202531646,0.6296296296296297,0.6375,0.7210791037951533
p11,3,16,32,0.4,0.001,0.0,0.6419753086419753,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.6396890717878372
p11,4,16,32,0.4,0.001,0.0,0.6851851851851852,0.7101449275362319,0.6125,0.6577181208053692,0.746189024390244
p11,5,16,32,0.4,0.001,0.0,0.5617283950617284,0.5391304347826087,0.775,0.6358974358974359,0.6185975609756098
p11,1,16,32,0.4,0.001,0.0001,0.6503067484662577,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6829268292682926
p11,2,16,32,0.4,0.001,0.0001,0.6851851851851852,0.7205882352941176,0.6049382716049383,0.6577181208053692,0.7294619722603262
