Participant,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample,mean_test_score,std_test_score,rank_test_score
p11,0.1,4,1,5,100,1.0,0.5502017174765558,0.024800638277097966,32
p11,0.1,4,1,5,200,0.8,0.5527614365011103,0.035080113773847815,24
p11,0.1,4,1,5,200,1.0,0.53956535815808,0.02162917153206485,66
p11,0.1,4,2,2,50,0.8,0.5180198020603447,0.07528110311551577,175
p11,0.1,4,2,2,50,1.0,0.5371702894435089,0.0517341046406683,82
p11,0.1,4,2,2,100,0.8,0.5192689163419388,0.06442911420846699,170
p11,0.1,4,2,2,100,1.0,0.5252355159129009,0.02435663215280146,136
p11,0.1,4,2,2,200,0.8,0.5150104754315616,0.03970610461298267,187
p11,0.1,4,2,2,200,1.0,0.5446158491761182,0.044608884180984396,48
p11,0.1,4,2,5,50,0.8,0.5226646802987887,0.0879181018345332,154
p11,0.1,4,2,5,50,1.0,0.5503842318838945,0.044218235492226796,29
p11,0.1,4,2,5,100,0.8,0.5503805730387487,0.049596362561537356,30
p11,0.1,4,2,5,100,1.0,0.5481551978710171,0.0427274887675704,37
p11,0.1,4,2,5,200,0.8,0.5408875038286592,0.016970340013073345,59
p11,0.1,4,2,5,200,1.0,0.5368269642550336,0.04297379265030513,83
p12,0.01,2,1,2,50,0.8,0.49234043756259666,0.050120978561603524,208
p12,0.01,2,1,2,50,1.0,0.499108714199879,0.040629169362817213,188
p12,0.01,2,1,2,100,0.8,0.5101072672972958,0.05291347444016383,102
p12,0.01,2,1,2,100,1.0,0.5223585007650424,0.029860688807964518,32
p12,0.01,2,1,2,200,0.8,0.5210516656148996,0.042580790972131424,41
p12,0.01,2,1,2,200,1.0,0.5156134004929672,0.026794411825638194,69
p12,0.01,2,1,5,50,0.8,0.49234043756259666,0.050120978561603524,208
p12,0.01,2,1,5,50,1.0,0.499108714199879,0.040629169362817213,188
p12,0.01,2,1,5,100,0.8,0.5101072672972958,0.05291347444016383,102
p12,0.01,2,1,5,100,1.0,0.5223585007650424,0.029860688807964518,32
p12,0.01,2,1,5,200,0.8,0.5210516656148996,0.042580790972131424,41
p12,0.01,2,1,5,200,1.0,0.5156134004929672,0.026794411825638194,69
p12,0.01,2,2,2,50,0.8,0.49234043756259666,0.050120978561603524,208
p12,0.01,2,2,2,50,1.0,0.499108714199879,0.040629169362817213,188
