CSV Name,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std
model_C-vad_TMN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,44.6892857142857,42.379999999999995,17.084101680210765,13.029285714285715,9.07,11.325855012238227,16.556428571428572,13.855,9.670152816502203,15.105714285714283,14.075000000000001,9.402219635061396,68.34071428571428,69.295,13.708940633641364
model_C-vad_MN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,40.83785714285715,36.315,13.301633317044148,5.769285714285714,4.815,3.307482110622507,22.064999999999998,19.045,8.193277497671255,13.004285714285716,8.765,9.018496987419132,64.92928571428571,68.81,12.64096178441992
model_C-vad_MN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,45.76428571428571,43.91,13.249693009091374,5.769285714285714,4.815,3.307482110622507,22.064999999999998,19.045,8.193277497671255,17.930000000000003,18.615000000000002,8.317081588745307,60.00428571428573,65.06,13.331393091430535
model_C-vad_MMN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,36.18357142857143,31.855,16.22180375399009,9.812142857142858,6.615,9.279986056497671,11.169999999999998,7.9799999999999995,8.282972339035714,15.202142857142857,13.129999999999999,8.373278173011892,73.62928571428571,76.935,13.511693206134577
model_C-vad_MMN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,39.83928571428572,34.455,16.20446114466664,9.812142857142858,6.615,9.279986056497671,11.169999999999998,7.9799999999999995,8.282972339035714,18.858571428571427,19.835,10.62146654885057,69.97285714285714,74.695,13.416659809340047
model_C-vad_TMN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,38.40928571428572,32.19,20.286340787028905,15.499285714285715,10.059999999999999,14.189922461047821,10.784285714285714,7.625,9.380037489088373,12.124285714285715,9.97,8.623682699212866,77.09142857142858,82.7,13.242042520317254
model_C-vad_TMN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,43.17,41.695,19.39479787508456,15.499285714285715,10.059999999999999,14.189922461047821,10.784285714285714,7.625,9.380037489088373,16.885714285714286,16.2,10.474204735213306,72.33071428571428,76.015,14.312672418463357
model_C-vad_MN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,44.97214285714285,38.775,15.582940464382311,4.878571428571428,4.245,2.6303607741520554,27.032142857142862,24.35,8.216748541449142,13.061428571428573,11.6,9.843559282122465,59.906428571428584,64.35000000000001,14.435110298874038
model_C-vad_MN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,43.32785714285715,37.565,14.17751208432209,4.878571428571428,4.245,2.6303607741520554,27.032142857142862,24.35,8.216748541449142,11.41714285714286,8.215,9.462115903043957,61.55071428571428,65.9,12.819867072565213
model_C-vad_MMN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,39.39357142857142,30.380000000000003,19.9016754637326,8.192142857142857,5.635,7.243088141405972,16.869285714285713,15.21,8.989289750574303,14.331428571428573,10.055,11.099446179630112,68.79714285714287,74.755,14.927071137609435
