	Model Type	Audio Type	Speaker Mode	Overlap Mode	VAD	Embedding	video_id	DER	False Alarm %	Missed Speech %	Confusion %	Correct %
633	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p7-s16	23.85	6.42	7.74	9.69	82.57
634	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p9-s3-1	63.74	9.87	34.74	19.13	46.13
635	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p9-s9	53.86	8.89	18.04	26.93	55.03
636	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p11-s4	18.86	6.81	5.72	6.32	87.96
637	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p11-s11	18.46	7.29	3.64	7.53	88.83
638	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p12-s3	51.36	26	5.53	19.83	74.64
639	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p12-s6	59.57	35.7	4.17	19.7	76.13
640	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p17-s2	16.7	5.74	6.77	4.19	89.04
641	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p17-s6	21.35	5.15	12.23	3.98	83.8
642	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p18-s15	14.62	3.54	7.76	3.32	88.91
643	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p18-s17	16.05	3.47	8.79	3.8	87.42
644	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p5-s8	36.38	15.46	11.48	9.44	79.08
645	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p5-s10	20.41	8.46	7.66	4.29	88.05
646	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p7-s8	56.05	11	11.75	33.31	54.94
