Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,4,16,16,0.2,0.0005,0.0001,0.691358024691358,0.6973684210526315,0.6625,0.6794871794871795,0.6992378048780488
p11,5,16,16,0.2,0.0005,0.0001,0.5987654320987654,0.5974025974025974,0.575,0.5859872611464968,0.6169207317073171
p11,1,16,16,0.3,0.001,0.0,0.6932515337423313,0.7719298245614035,0.5432098765432098,0.6376811594202898,0.6981330924420355
p11,2,16,16,0.3,0.001,0.0,0.6790123456790124,0.6666666666666666,0.7160493827160493,0.6904761904761905,0.7308337143728091
p11,3,16,16,0.3,0.001,0.0,0.6481481481481481,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6744398719707361
p11,4,16,16,0.3,0.001,0.0,0.6604938271604939,0.676056338028169,0.6,0.6357615894039735,0.7089939024390244
p11,5,16,16,0.3,0.001,0.0,0.49382716049382713,0.49324324324324326,0.9125,0.6403508771929824,0.5689024390243903
p11,1,16,16,0.3,0.001,0.0001,0.656441717791411,0.711864406779661,0.5185185185185185,0.6,0.6767539897621199
p11,2,16,16,0.3,0.001,0.0001,0.6111111111111112,0.640625,0.5061728395061729,0.5655172413793104,0.7067520195092212
p11,3,16,16,0.3,0.001,0.0001,0.6296296296296297,0.6438356164383562,0.5802469135802469,0.6103896103896104,0.6482243560432861
p11,4,16,16,0.3,0.001,0.0001,0.7037037037037037,0.7105263157894737,0.675,0.6923076923076923,0.7129573170731707
p11,5,16,16,0.3,0.001,0.0001,0.5061728395061729,0.5,0.025,0.047619047619047616,0.5788109756097561
p11,1,16,16,0.3,0.0005,0.0,0.656441717791411,0.711864406779661,0.5185185185185185,0.6,0.7014453477868111
p11,2,16,16,0.3,0.0005,0.0,0.6604938271604939,0.6585365853658537,0.6666666666666666,0.6625766871165644,0.7219935985368084
p11,3,16,16,0.3,0.0005,0.0,0.6358024691358025,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6619417771681146
p11,4,16,16,0.3,0.0005,0.0,0.691358024691358,0.7142857142857143,0.625,0.6666666666666666,0.7106707317073171
p11,5,16,16,0.3,0.0005,0.0,0.5185185185185185,0.6666666666666666,0.05,0.09302325581395349,0.5774390243902439
p11,1,16,16,0.3,0.0005,0.0001,0.5460122699386503,0.64,0.19753086419753085,0.3018867924528302,0.6610960554049984
p11,2,16,16,0.3,0.0005,0.0001,0.5308641975308642,0.7272727272727273,0.09876543209876543,0.17391304347826086,0.7012650510592897
p11,3,16,16,0.3,0.0005,0.0001,0.6481481481481481,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.6587410455723213
p11,4,16,16,0.3,0.0005,0.0001,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7147865853658536
p11,5,16,16,0.3,0.0005,0.0001,0.5370370370370371,0.6923076923076923,0.1125,0.1935483870967742,0.5952743902439024
p11,1,16,16,0.4,0.001,0.0,0.7055214723926381,0.746268656716418,0.6172839506172839,0.6756756756756757,0.7297500752785304
p11,2,16,16,0.4,0.001,0.0,0.6234567901234568,0.65625,0.5185185185185185,0.5793103448275863,0.698521566834324
p11,3,16,16,0.4,0.001,0.0,0.5802469135802469,0.5764705882352941,0.6049382716049383,0.5903614457831325,0.6459381191891479
p11,4,16,16,0.4,0.001,0.0,0.6419753086419753,0.671875,0.5375,0.5972222222222222,0.7038109756097563
p11,5,16,16,0.4,0.001,0.0,0.5679012345679012,0.6388888888888888,0.2875,0.39655172413793105,0.6082317073170731
p11,1,16,16,0.4,0.001,0.0001,0.6687116564417178,0.6901408450704225,0.6049382716049383,0.6447368421052632,0.6746461909063535
p11,2,16,16,0.4,0.001,0.0001,0.6481481481481481,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.7041609510745312
p11,3,16,16,0.4,0.001,0.0001,0.6481481481481481,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6622466087486664
p11,4,16,16,0.4,0.001,0.0001,0.6790123456790124,0.7121212121212122,0.5875,0.6438356164383562,0.7108231707317073
p11,5,16,16,0.4,0.001,0.0001,0.5,0.4,0.025,0.047058823529411764,0.5486280487804878
p11,1,16,16,0.4,0.0005,0.0,0.6993865030674846,0.7222222222222222,0.6419753086419753,0.6797385620915033,0.7061126166817223
p11,2,16,16,0.4,0.0005,0.0,0.6481481481481481,0.6363636363636364,0.691358024691358,0.6627218934911243,0.7148300563938425
p11,3,16,16,0.4,0.0005,0.0,0.6234567901234568,0.6282051282051282,0.6049382716049383,0.6163522012578616,0.6581313824112178
p11,4,16,16,0.4,0.0005,0.0,0.691358024691358,0.7272727272727273,0.6,0.6575342465753424,0.7263719512195121
p11,5,16,16,0.4,0.0005,0.0,0.5740740740740741,0.5846153846153846,0.475,0.5241379310344828,0.5923780487804877
p11,1,16,16,0.4,0.0005,0.0001,0.5644171779141104,0.543859649122807,0.7654320987654321,0.6358974358974359,0.6648599819331527
p11,2,16,16,0.4,0.0005,0.0001,0.6604938271604939,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.7190976985215668
p11,3,16,16,0.4,0.0005,0.0001,0.6111111111111112,0.618421052631579,0.5802469135802469,0.5987261146496815,0.6416704770614235
p11,4,16,16,0.4,0.0005,0.0001,0.6358024691358025,0.6438356164383562,0.5875,0.6143790849673203,0.6710365853658536
p11,5,16,16,0.4,0.0005,0.0001,0.5123456790123457,0.5384615384615384,0.0875,0.15053763440860216,0.5900914634146341
p11,1,16,16,0.5,0.001,0.0,0.6871165644171779,0.6973684210526315,0.654320987654321,0.6751592356687898,0.7026498042758207
p11,2,16,16,0.5,0.001,0.0,0.6358024691358025,0.6833333333333333,0.5061728395061729,0.5815602836879432,0.7003505563176344
p11,3,16,16,0.5,0.001,0.0,0.6481481481481481,0.6764705882352942,0.5679012345679012,0.6174496644295302,0.6796220088401157
p11,4,16,16,0.5,0.001,0.0,0.6666666666666666,0.696969696969697,0.575,0.6301369863013698,0.7036585365853658
p11,5,16,16,0.5,0.001,0.0,0.5740740740740741,0.5544554455445545,0.7,0.6187845303867403,0.6091463414634146
p11,1,16,16,0.5,0.001,0.0001,0.6748466257668712,0.6794871794871795,0.654320987654321,0.6666666666666666,0.6922613670581149
p11,2,16,16,0.5,0.001,0.0001,0.6728395061728395,0.6666666666666666,0.691358024691358,0.6787878787878788,0.7166590458771528
p11,3,16,16,0.5,0.001,0.0001,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.668800487730529
p11,4,16,16,0.5,0.001,0.0001,0.6790123456790124,0.7,0.6125,0.6533333333333333,0.7073170731707317
p11,5,16,16,0.5,0.001,0.0001,0.5555555555555556,0.5606060606060606,0.4625,0.5068493150684932,0.6111280487804878
p11,1,16,16,0.5,0.0005,0.0,0.6809815950920245,0.7636363636363637,0.5185185185185185,0.6176470588235294,0.7100271002710028
p11,2,16,16,0.5,0.0005,0.0,0.654320987654321,0.616822429906542,0.8148148148148148,0.7021276595744681,0.7169638774577046
p11,3,16,16,0.5,0.0005,0.0,0.6419753086419753,0.676923076923077,0.5432098765432098,0.6027397260273972,0.674592287761012
p11,4,16,16,0.5,0.0005,0.0,0.6666666666666666,0.6805555555555556,0.6125,0.6447368421052632,0.6809451219512195
p11,5,16,16,0.5,0.0005,0.0,0.5432098765432098,0.5238095238095238,0.825,0.6407766990291263,0.6004573170731706
