Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,16,0.5,0.0005,0.0,0.6441717791411042,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6648599819331527
p11,2,16,16,0.5,0.0005,0.0,0.6358024691358025,0.625,0.6790123456790124,0.650887573964497,0.696235329980186
p11,3,16,16,0.5,0.0005,0.0,0.5864197530864198,0.5875,0.5802469135802469,0.5838509316770186,0.6520347508001829
p11,4,16,16,0.5,0.0005,0.0,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7327743902439023
p11,5,16,16,0.5,0.0005,0.0,0.5061728395061729,0.5,1.0,0.6666666666666666,0.6272865853658537
p11,1,16,16,0.5,0.0005,0.0001,0.6503067484662577,0.65,0.6419753086419753,0.6459627329192547,0.6647094248720266
p11,2,16,16,0.5,0.0005,0.0001,0.691358024691358,0.6741573033707865,0.7407407407407407,0.7058823529411765,0.7504953513183965
p11,3,16,16,0.5,0.0005,0.0001,0.6481481481481481,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6500533455265965
p11,4,16,16,0.5,0.0005,0.0001,0.691358024691358,0.7142857142857143,0.625,0.6666666666666666,0.754420731707317
p11,5,16,16,0.5,0.0005,0.0001,0.6296296296296297,0.6428571428571429,0.5625,0.6,0.6533536585365853
p11,1,16,32,0.2,0.001,0.0,0.656441717791411,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6713339355615778
p11,2,16,32,0.2,0.001,0.0,0.6358024691358025,0.6122448979591837,0.7407407407407407,0.6703910614525139,0.7091906721536351
p11,3,16,32,0.2,0.001,0.0,0.6419753086419753,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.6505105928974242
p11,4,16,32,0.2,0.001,0.0,0.6790123456790124,0.7,0.6125,0.6533333333333333,0.7332317073170732
p11,5,16,32,0.2,0.001,0.0,0.6358024691358025,0.6567164179104478,0.55,0.5986394557823129,0.6292682926829268
p11,1,16,32,0.2,0.001,0.0001,0.6687116564417178,0.684931506849315,0.6172839506172839,0.6493506493506493,0.6746461909063535
p11,2,16,32,0.2,0.001,0.0001,0.6419753086419753,0.6055045871559633,0.8148148148148148,0.6947368421052632,0.7306812985825332
p11,3,16,32,0.2,0.001,0.0001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6363359244017681
p11,4,16,32,0.2,0.001,0.0001,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7373475609756097
p11,5,16,32,0.2,0.001,0.0001,0.6172839506172839,0.6666666666666666,0.45,0.5373134328358209,0.6432926829268293
p11,1,16,32,0.2,0.0005,0.0,0.6687116564417178,0.6753246753246753,0.6419753086419753,0.6582278481012658,0.6761517615176151
p11,2,16,32,0.2,0.0005,0.0,0.6851851851851852,0.6744186046511628,0.7160493827160493,0.6946107784431138,0.73449169333943
p11,3,16,32,0.2,0.0005,0.0,0.6419753086419753,0.6619718309859155,0.5802469135802469,0.618421052631579,0.6468526139308033
p11,4,16,32,0.2,0.0005,0.0,0.6728395061728395,0.6956521739130435,0.6,0.6442953020134228,0.7310975609756096
p11,5,16,32,0.2,0.0005,0.0,0.5740740740740741,0.5753424657534246,0.525,0.5490196078431373,0.605030487804878
p11,1,16,32,0.2,0.0005,0.0001,0.6748466257668712,0.6944444444444444,0.6172839506172839,0.6535947712418301,0.6918096958747366
p11,2,16,32,0.2,0.0005,0.0001,0.5061728395061729,1.0,0.012345679012345678,0.024390243902439025,0.6509678402682518
p11,3,16,32,0.2,0.0005,0.0001,0.6419753086419753,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6665142508763908
p11,4,16,32,0.2,0.0005,0.0001,0.6975308641975309,0.6962025316455697,0.6875,0.6918238993710691,0.7525914634146342
p11,5,16,32,0.2,0.0005,0.0001,0.6296296296296297,0.6428571428571429,0.5625,0.6,0.6451219512195121
p11,1,16,32,0.3,0.001,0.0,0.6441717791411042,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.6659138813610359
p11,2,16,32,0.3,0.001,0.0,0.6790123456790124,0.6559139784946236,0.7530864197530864,0.7011494252873564,0.7262612406645329
p11,3,16,32,0.3,0.001,0.0,0.6296296296296297,0.6438356164383562,0.5802469135802469,0.6103896103896104,0.6617893613778387
p11,4,16,32,0.3,0.001,0.0,0.6851851851851852,0.7164179104477612,0.6,0.6530612244897959,0.7222560975609756
p11,5,16,32,0.3,0.001,0.0,0.5370370370370371,0.5174825174825175,0.925,0.6636771300448431,0.6396341463414634
p11,1,16,32,0.3,0.001,0.0001,0.6871165644171779,0.7083333333333334,0.6296296296296297,0.6666666666666666,0.6847335140018067
p11,2,16,32,0.3,0.001,0.0001,0.691358024691358,0.6962025316455697,0.6790123456790124,0.6875,0.7351013565005334
p11,3,16,32,0.3,0.001,0.0001,0.6358024691358025,0.6447368421052632,0.6049382716049383,0.6242038216560509,0.6468526139308033
p11,4,16,32,0.3,0.001,0.0001,0.6790123456790124,0.6891891891891891,0.6375,0.6623376623376623,0.7472560975609757
p11,5,16,32,0.3,0.001,0.0001,0.6049382716049383,0.6142857142857143,0.5375,0.5733333333333334,0.6222560975609757
p11,1,16,32,0.3,0.0005,0.0,0.656441717791411,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6744956338452274
p11,2,16,32,0.3,0.0005,0.0,0.6975308641975309,0.7051282051282052,0.6790123456790124,0.6918238993710691,0.7376924249352234
p11,3,16,32,0.3,0.0005,0.0,0.6481481481481481,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.6674287456180461
p11,4,16,32,0.3,0.0005,0.0,0.6666666666666666,0.6756756756756757,0.625,0.6493506493506493,0.7408536585365854
p11,5,16,32,0.3,0.0005,0.0,0.6358024691358025,0.6521739130434783,0.5625,0.6040268456375839,0.6475609756097561
p11,1,16,32,0.3,0.0005,0.0001,0.6441717791411042,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6666666666666666
p11,2,16,32,0.3,0.0005,0.0001,0.6975308641975309,0.7051282051282052,0.6790123456790124,0.6918238993710691,0.7419600670629477
p11,3,16,32,0.3,0.0005,0.0001,0.6111111111111112,0.6153846153846154,0.5925925925925926,0.6037735849056604,0.6474622770919066
p11,4,16,32,0.3,0.0005,0.0001,0.6790123456790124,0.7,0.6125,0.6533333333333333,0.7283536585365853
p11,5,16,32,0.3,0.0005,0.0001,0.6358024691358025,0.6296296296296297,0.6375,0.6335403726708074,0.6347560975609756
p11,1,16,32,0.4,0.001,0.0,0.6625766871165644,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.681421258657031
p11,2,16,32,0.4,0.001,0.0,0.6790123456790124,0.6666666666666666,0.7160493827160493,0.6904761904761905,0.7331199512269471
p11,3,16,32,0.4,0.001,0.0,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6505105928974242
p11,4,16,32,0.4,0.001,0.0,0.6728395061728395,0.684931506849315,0.625,0.6535947712418301,0.7211890243902439
p11,5,16,32,0.4,0.001,0.0,0.5987654320987654,0.6,0.5625,0.5806451612903226,0.6324695121951219
p11,1,16,32,0.4,0.001,0.0001,0.6625766871165644,0.6710526315789473,0.6296296296296297,0.6496815286624203,0.6901535682023487
p11,2,16,32,0.4,0.001,0.0001,0.6481481481481481,0.7727272727272727,0.41975308641975306,0.544,0.693796677335772
p11,3,16,32,0.4,0.001,0.0001,0.6172839506172839,0.620253164556962,0.6049382716049383,0.6125,0.6527968297515623
p11,4,16,32,0.4,0.001,0.0001,0.6728395061728395,0.6956521739130435,0.6,0.6442953020134228,0.7329268292682928
p11,5,16,32,0.4,0.001,0.0001,0.5493827160493827,0.64,0.2,0.3047619047619048,0.6210365853658537
p11,1,16,32,0.4,0.0005,0.0,0.6748466257668712,0.6707317073170732,0.6790123456790124,0.6748466257668712,0.6753989762119843
p11,2,16,32,0.4,0.0005,0.0,0.5061728395061729,1.0,0.012345679012345678,0.024390243902439025,0.6343545191281816
p11,3,16,32,0.4,0.0005,0.0,0.6172839506172839,0.6266666666666667,0.5802469135802469,0.6025641025641025,0.6412132296905959
p11,4,16,32,0.4,0.0005,0.0,0.6728395061728395,0.6753246753246753,0.65,0.6624203821656051,0.7365853658536585
p11,5,16,32,0.4,0.0005,0.0,0.5925925925925926,0.6590909090909091,0.3625,0.46774193548387094,0.6310975609756098
p11,1,16,32,0.4,0.0005,0.0001,0.6380368098159509,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6735922914784703
p11,2,16,32,0.4,0.0005,0.0001,0.6975308641975309,0.7352941176470589,0.6172839506172839,0.6711409395973155,0.7354061880810852
p11,3,16,32,0.4,0.0005,0.0001,0.6296296296296297,0.6363636363636364,0.6049382716049383,0.620253164556962,0.6495960981557688
p11,4,16,32,0.4,0.0005,0.0001,0.691358024691358,0.7142857142857143,0.625,0.6666666666666666,0.7611280487804878
p11,5,16,32,0.4,0.0005,0.0001,0.5061728395061729,0.0,0.0,0.0,0.6557926829268292
p11,1,16,32,0.5,0.001,0.0,0.6687116564417178,0.6753246753246753,0.6419753086419753,0.6582278481012658,0.6857874134296899
p11,2,16,32,0.5,0.001,0.0,0.6851851851851852,0.6973684210526315,0.654320987654321,0.6751592356687898,0.733119951226947
p11,3,16,32,0.5,0.001,0.0,0.6358024691358025,0.6571428571428571,0.5679012345679012,0.609271523178808,0.6360310928212163
p11,4,16,32,0.5,0.001,0.0,0.6604938271604939,0.6811594202898551,0.5875,0.6308724832214765,0.7170731707317073
p11,5,16,32,0.5,0.001,0.0,0.6358024691358025,0.6721311475409836,0.5125,0.5815602836879432,0.6432926829268292
